910; 22, 70, 48, 630, 70, 4, 4, 8, 9, 16, 10, 2, 6, 9, 1, 1
5400; 110, 360, 2400, 79, 600, 3, 21, 130, 6, 290, 56, 3, 480, 5, 200, 105, 300, 7, 23, 4, 21, 7, 23, 81, 9, 22, 50, 3, 2
2400; 2020, 8, 9, 100, 63, 190, 7, 3
95000; 12000, 54000, 6200, 9000, 5400, 3600, 860, 1000, 745, 560, 380, 420, 13, 330, 34, 140, 120, 6, 190, 2
590; 300, 29, 43, 100, 22, 56, 5, 9, 10, 11, 5
20; 12, 5, 1, 2
72000; 49000, 6300, 4400, 6500, 2700, 1200, 310, 210, 432, 670, 70, 97, 97, 12, 2
2900; 1800, 440, 500, 65, 41, 38, 14, 2
3100; 1500, 870, 37, 39, 200, 140, 90, 42, 52, 74, 31, 20, 5
9800; 7600, 1300, 330, 440, 120, 10
20; 19, 1
280; 89, 40, 110, 18, 8, 4, 9, 2
44000; 24000, 7000, 2100, 4600, 6000, 290, 10
590; 380, 72, 65, 44, 29
72; 39, 33
19; 11, 7, 1
96; 81, 13, 2
190; 83, 100, 5, 2
20; 20
550; 530, 9, 9, 2
5000; 3000, 1600, 280, 95, 22, 3
15; 14, 1
23000; 8500, 10000, 3300, 1100, 96, 4
65000; 37000, 11000, 13000, 2900, 890, 110, 52, 21, 20, 6, 1
9000; 1500, 2500, 1000, 500, 680, 800, 1000, 230, 120, 380, 63, 120, 32, 57, 18
12; 11, 0, 1
71000; 60000, 9300, 1350, 130, 110, 24, 5, 5, 13, 11, 9, 19, 8, 4, 4, 5, 3
52; 25, 27
17; 14, 3
24000; 18000, 4100, 1500, 356, 28, 5, 4, 5, 2
620; 170, 450
72000; 55000, 11000, 3400, 1100, 660, 630, 130, 72, 6, 2
10; 10
58; 17, 17, 14, 9, 1
120; 94, 19, 6, 0, 0, 1
76; 69, 4, 3
8500; 7000, 1010, 200, 250, 40
59; 56, 3
45; 30, 13, 1, 1
46; 46
82000; 41000, 33000, 2800, 4900, 300
850; 570, 61, 46, 32, 40, 19, 77, 5
6000; 5200, 530, 270
81; 40, 39, 2
1500; 930, 360, 100, 31, 39, 23, 16, 1
34; 8, 19, 7
130; 58, 70, 1, 1
75000; 54000, 11520, 9300, 67, 37, 35, 37, 3, 1
51; 43, 6, 2
29000; 26000, 2200, 300, 300, 200
2500; 1000, 1170, 290, 40
22; 20, 2
770; 710, 55, 5
93; 71, 14, 6, 1, 1
95; 35, 49, 9, 2
7000; 5000, 1500, 400, 39, 23, 30, 3, 5
270; 210, 54, 6
320; 260, 34, 19, 7
96; 65, 20, 9, 2
33000; 23000, 9000, 600, 370, 14, 9, 7
280; 130, 61, 34, 40, 13, 2
46000; 45000, 554, 439, 6, 1
2600; 1600, 860, 110, 30
310; 210, 47, 45, 8
7400; 3800, 2700, 670, 200, 17, 11, 2
70000; 43000, 11000, 15000, 510, 470, 17, 3
870; 500, 110, 152, 61, 35, 10, 2
16; 13, 3
94; 61, 32, 1
64; 47, 12, 4, 1
29000; 20000, 7200, 1600, 120, 73, 6, 1
1300; 1040, 160, 100
19; 15, 4
29; 20, 8, 1
46; 39, 5, 2
41; 20, 19, 1, 1
3100; 1900, 1000, 200
37000; 29000, 6200, 1300, 320, 130, 48, 2
600; 570, 25, 5
55000; 43000, 11000, 800, 110, 54, 16, 15, 3, 1, 1
93000; 89000, 2300, 950, 660, 55, 24, 10, 0, 1
590; 550, 25, 13, 2
99000; 46000, 18000, 27000, 5800, 2000, 140, 60
440; 400, 12, 20, 8
830; 600, 90, 80, 57, 3
59; 49, 6, 3, 1
78; 65, 11, 1, 1
98; 53, 14, 23, 7, 1
63; 56, 5, 2
4400; 4000, 270, 100, 30
95; 80, 11, 3, 1
6600; 6500, 63, 23, 11, 3
220; 220
95; 70, 22, 3
92; 89, 3
6600; 5100, 900, 540, 38, 12, 10
92; 73, 12, 6, 1
86000; 13000, 42000, 13000, 18000
25; 14, 9, 2
870; 660, 150, 49, 9, 2
94; 80, 11, 3
4500; 3600, 900
580; 430, 145, 4, 1
89; 50, 33, 5, 1
77; 41, 20, 15, 1
57; 44, 10, 3
87; 80, 6, 1
28000; 27000, 820, 140, 19, 17, 4
510; 302, 130, 43, 33, 2
6900; 2900, 3100, 700, 95, 91, 13, 1
83000; 15000, 30000, 12000, 18000, 7000, 560, 406, 31, 3
13; 11, 2
6300; 2600, 3200, 480, 20
69000; 21000, 26000, 13800, 7300, 520, 330, 36, 10, 4
5700; 4200, 1000, 370, 85, 20, 20, 4, 0, 0, 1
4500; 4000, 410, 67, 18, 5
6000; 4100, 1720, 151, 15, 9, 4, 1
35; 33, 2
49; 46, 3
710; 600, 95, 9, 6
33000; 16000, 10000, 6900, 69, 16, 6, 9
73; 48, 24, 1
9200; 8900, 300
140; 140
540; 530, 10
8; 7, 0, 1
47; 33, 13, 1
6800; 5600, 680, 220, 230, 44, 25, 0, 1
8600; 6000, 2000, 560, 32, 6, 2
30000; 13000, 11260, 4000, 1100, 330, 310
350; 340, 9, 1
6; 4, 2
9900; 5800, 2400, 1700
4900; 3800, 890, 160, 42, 7, 1
8000; 3600, 2500, 1860, 34, 5, 1
38000; 21000, 10000, 2820, 3500, 360, 102, 100, 86, 16, 10, 5, 1
59; 54, 5
4600; 1775, 2700, 73, 38, 9, 4, 1
90; 65, 24, 0, 1
6200; 3510, 1500, 1000, 170, 20
560; 440, 67, 39, 7, 6, 1
40000; 29000, 9000, 1200, 660, 122, 17, 1
97; 60, 36, 1
31; 16, 12, 3
40; 39, 0, 1
120; 100, 20
250; 220, 23, 6, 0, 1
22; 11, 9, 2
24000; 11400, 12000, 510, 42, 35, 13
43; 33, 10
420; 416, 4
35; 33, 2
9000; 8000, 900, 67, 23, 8, 2
41; 31, 9, 1
6700; 4400, 1300, 990, 5, 5
84000; 46000, 19000, 15000, 3000, 970, 15, 11, 4
24000; 11000, 10000, 1400, 1600
86; 77, 7, 2
1900; 1900
17; 12, 5
620; 350, 155, 89, 24, 2
2300; 2020, 280
69; 51, 17, 1
83; 79, 4
71; 56, 11, 4
93000; 59000, 26000, 4300, 2600, 630, 350, 80, 31, 8, 1
900; 710, 150, 30, 10
9200; 8900, 300
86; 85, 1
39000; 38000, 900, 100
56; 49, 7
99000; 47000, 51000, 400, 280, 250, 62, 7, 1
28000; 26000, 1300, 665, 27, 7, 0, 0, 1
44000; 42000, 1300, 530, 170
24000; 10000, 6300, 2600, 2700, 2100, 180, 120
5; 5
26000; 25000, 480, 350, 100, 57, 12, 1
6500; 3800, 2600, 100
16; 15, 0, 0, 1
79000; 77000, 1300, 240, 190, 190, 60, 18, 2
93; 92, 1
33; 29, 4
720; 510, 150, 21, 21, 17, 1
3000; 2500, 387, 88, 19, 5, 1
200; 130, 28, 32, 10
37; 26, 11
32000; 29000, 1240, 1100, 220, 209, 200, 27, 4
50; 45, 5
74000; 59000, 9100, 4900, 730, 240, 28, 2
44; 20, 18, 3, 3
900; 860, 28, 12
38; 38
9; 7, 2
950; 710, 73, 90, 67, 10
7200; 5100, 1200, 360, 440, 93, 7
190; 150, 36, 3, 1
95000; 92000, 2300, 330, 200, 84, 77, 8, 1
58; 56, 2
82; 80, 2
150; 100, 40, 10
790; 590, 75, 110, 15
83; 17, 37, 26, 3
4900; 3100, 1600, 170, 21, 7, 2
90000; 62000, 28000
64000; 60000, 3300, 480, 220
93; 38, 48, 5, 2
28000; 17000, 11000
5400; 5300, 62, 14, 23, 1
990; 960, 15, 14, 1
51000; 33000, 12000, 5620, 220, 160
350; 290, 31, 25, 4
34; 16, 16, 2
880; 400, 460, 11, 9
73000; 60000, 8300, 4600, 82, 15, 3
93000; 53000, 19000, 12000, 9000
21; 15, 6
78000; 68000, 7500, 1900, 495, 100, 4, 1
21; 12, 7, 2
21; 18, 3
35; 30, 4, 1
53; 40, 10, 3
4700; 4200, 250, 190, 49, 10, 1
36; 23, 12, 1
49; 31, 14, 4
80; 68, 10, 2
3700; 3100, 600
5; 5
5700; 4000, 1500, 170, 28, 2
4000; 3300, 275, 150, 190, 50, 35
680; 500, 70, 46, 39, 21, 4
9200; 8000, 1100, 79, 17, 3, 1
930; 890, 30, 7, 3
190; 190
16; 16
10000; 3400, 6000, 240, 206, 120, 32, 2
85; 78, 7
52; 50, 2
480; 280, 95, 41, 45, 11, 6, 2
3900; 3600, 290, 9, 1
800; 800
96000; 12000, 34500, 17000, 30000, 2200, 120, 93, 66, 11, 10
88; 77, 11
7900; 4100, 3200, 600
1100; 1000, 90, 6, 4
66; 66
7400; 5700, 1100, 520, 23, 39, 13, 5
2100; 1500, 500, 62, 36, 2
460; 440, 17, 3
51; 51
37; 27, 6, 4
57000; 41000, 8000, 7900, 92, 7, 1
21; 19, 2
25; 22, 3
380; 110, 228, 28, 12, 2
760; 619, 67, 57, 14, 3
99; 80, 16, 3
63; 59, 4
80; 40, 24, 13, 3
1600; 940, 620, 24, 16
9300; 8600, 700
52; 47, 5
1800; 1300, 500
2100; 2000, 95, 5
670; 200, 246, 132, 91, 0, 1
96000; 16400, 69000, 6700, 3000, 710, 160, 25, 5
76; 39, 32, 5
92000; 72400, 8300, 2300, 3000, 2600, 2200, 1000, 160, 33, 7
2600; 1960, 500, 95, 43, 2
710; 710
82000; 64000, 12000, 3700, 1400, 720, 160, 16, 4
82; 60, 12, 8, 2
13; 11, 2
240; 220, 16, 4
95000; 32000, 27000, 22600, 6700, 3900, 920, 800, 250, 680, 140, 7, 3
28; 27, 0, 1
1500; 1500
4600; 2200, 2400
98000; 40000, 56000, 1300, 440, 220, 34, 6
25; 24, 1
75; 45, 29, 1
350; 300, 35, 11, 4
81000; 38000, 43000
72000; 33000, 25000, 8600, 4620, 730, 43, 7
7; 7
210; 200, 8, 2
52; 39, 11, 2
660; 550, 53, 48, 9
95; 59, 26, 8, 2
530; 412, 61, 28, 22, 6, 1
92; 70, 14, 8
14; 14
650; 600, 36, 14
2100; 1300, 600, 120, 70, 8, 2
1100; 1000, 82, 15, 3
40; 40
8700; 7000, 1300, 240, 160
